Date,Gender,Region,Device Category,Age,Users,Transactions
20220722,male,California,desktop,45-54,38,15
20220725,male,California,desktop,18-24,38,30
20220726,female,California,desktop,18-24,38,19
20220727,female,California,desktop,25-34,38,15
20220729,female,California,desktop,25-34,38,19
20220729,male,California,desktop,35-44,38,26
20220801,male,California,desktop,35-44,38,8
20220806,male,California,desktop,18-24,38,38
20220809,male,California,desktop,45-54,38,26
20220810,female,California,desktop,18-24,38,11
20220810,female,California,desktop,25-34,38,4
20220810,male,California,desktop,35-44,38,53
20220811,female,California,desktop,18-24,38,8
20220812,male,California,desktop,35-44,38,15
20220818,female,California,desktop,25-34,38,8
20220822,male,California,desktop,35-44,38,4
20220830,male,California,desktop,25-34,38,11
20220914,male,California,desktop,35-44,38,0
20220921,male,California,desktop,18-24,38,15
20220927,female,England,desktop,25-34,38,4
20220927,female,Illinois,desktop,25-34,38,30
20220927,male,New York,desktop,18-24,38,42
20220927,male,Texas,desktop,25-34,38,53
20220928,male,California,desktop,35-44,38,19
20220929,female,California,desktop,35-44,38,19
20221003,female,California,desktop,18-24,38,34
20221003,female,California,desktop,25-34,38,38
20221010,male,California,desktop,25-34,38,8
20221020,male,California,desktop,18-24,38,23
20221025,female,California,desktop,25-34,38,8
20221101,female,California,desktop,35-44,38,19
20221101,male,New York,desktop,25-34,38,15
20221102,male,California,desktop,18-24,38,38
20221103,male,England,desktop,25-34,38,23
20221103,male,California,desktop,18-24,38,23
20221114,male,California,desktop,18-24,38,11
20221117,female,California,desktop,18-24,38,19
20221117,male,California,desktop,45-54,38,15
20221129,male,California,desktop,25-34,38,15
20221201,female,California,desktop,25-34,38,30
20221202,female,California,desktop,25-34,38,8
20221209,male,California,desktop,18-24,38,38
20221213,male,California,desktop,25-34,38,15
20221213,male,California,desktop,35-44,38,15
