Date,Gender,Region,Device Category,Age,Users,Transactions
20210726,male,California,desktop,35-44,60,42
20211011,male,California,desktop,35-44,60,4
20211019,male,California,desktop,25-34,60,57
20211025,female,California,desktop,25-34,60,38
20211104,male,California,desktop,25-34,60,30
20211109,female,California,desktop,25-34,60,53
20220310,male,California,desktop,25-34,60,49
20220408,male,California,desktop,25-34,60,53
20220419,male,California,desktop,18-24,60,23
20220513,female,New York,desktop,18-24,60,0
20220524,male,California,desktop,25-34,60,15
20220602,male,California,desktop,25-34,60,19
20220613,male,California,desktop,25-34,60,49
20220630,male,California,desktop,25-34,60,0
20220712,male,California,desktop,25-34,60,30
20220719,male,California,desktop,18-24,60,8
20220722,male,California,desktop,25-34,60,42
20220802,female,California,desktop,25-34,60,38
20220809,male,California,desktop,18-24,60,30
20220824,male,California,desktop,25-34,60,8
20220830,male,California,desktop,35-44,60,30
20221017,male,California,desktop,25-34,60,45
20221108,female,California,desktop,18-24,60,15
20221108,male,California,desktop,18-24,60,19
20221110,female,California,desktop,25-34,60,72
20221114,male,California,desktop,35-44,60,68
20221115,female,California,desktop,25-34,60,34
20221130,male,California,desktop,25-34,60,53
20210629,female,California,desktop,25-34,57,49
20210708,male,California,desktop,25-34,57,38
20210716,female,California,desktop,25-34,57,42
20210722,male,California,desktop,35-44,57,34
20210727,female,California,desktop,25-34,57,38
20210729,male,California,desktop,25-34,57,23
20210802,male,California,desktop,25-34,57,8
20210804,male,California,desktop,25-34,57,23
20210819,male,California,desktop,25-34,57,11
20211129,male,California,desktop,25-34,57,49
20211201,male,California,desktop,25-34,57,30
20211206,male,California,desktop,25-34,57,34
20211216,female,California,desktop,25-34,57,11
20220309,male,California,desktop,25-34,57,38
20220321,male,California,desktop,25-34,57,30
20220325,female,California,desktop,25-34,57,30
20220406,male,California,desktop,25-34,57,34
20220411,male,California,desktop,35-44,57,15
20220414,male,California,desktop,25-34,57,15
20220420,female,California,desktop,25-34,57,72
20220425,male,California,desktop,25-34,57,42
20220507,male,New York,desktop,45-54,57,0
20220606,male,California,desktop,25-34,57,64
20220607,male,California,desktop,18-24,57,26
20220720,male,California,desktop,25-34,57,15
20220721,male,California,desktop,18-24,57,26
20220729,female,California,desktop,18-24,57,26
20220808,female,California,desktop,25-34,57,64
20220811,male,California,desktop,25-34,57,11
20220823,male,California,desktop,25-34,57,15
20220929,male,California,desktop,25-34,57,34
20221003,male,New York,desktop,25-34,57,15
20221006,male,California,desktop,25-34,57,19
20221011,male,California,desktop,25-34,57,34
20221013,male,California,desktop,35-44,57,30
20221021,male,California,desktop,25-34,57,4
20221111,male,California,desktop,25-34,57,42
20221117,male,California,desktop,18-24,57,30
20221128,male,California,desktop,45-54,57,19
20221206,female,California,desktop,25-34,57,38
20221212,male,California,desktop,18-24,57,19
20210201,male,California,desktop,25-34,53,26
20210521,male,California,desktop,25-34,53,11
20210712,female,California,desktop,25-34,53,57
20210719,female,California,desktop,35-44,53,15
20210719,male,California,desktop,18-24,53,8
20210720,female,California,desktop,18-24,53,19
20210720,male,California,desktop,35-44,53,11
20210721,female,California,desktop,25-34,53,23
20210914,female,California,desktop,18-24,53,26
20211011,male,California,desktop,25-34,53,64
20211025,male,California,desktop,25-34,53,11
20211026,female,California,desktop,25-34,53,11
20211027,male,California,desktop,25-34,53,8
20211203,male,California,desktop,18-24,53,23
20211206,female,California,desktop,18-24,53,64
20211206,male,California,desktop,18-24,53,23
20211206,male,California,desktop,35-44,53,53
20211207,male,California,desktop,25-34,53,53
20220201,male,California,desktop,25-34,53,11
20220207,male,California,desktop,25-34,53,30
20220222,male,California,desktop,25-34,53,26
20220324,male,California,desktop,18-24,53,57
20220411,male,California,desktop,25-34,53,15
20220414,male,California,desktop,35-44,53,34
20220419,female,California,desktop,25-34,53,26
20220506,male,New York,desktop,45-54,53,0
20220509,male,California,desktop,35-44,53,26
20220511,male,New York,desktop,35-44,53,11
20220511,male,California,desktop,25-34,53,15
20220512,male,California,desktop,25-34,53,38
20220513,male,New York,desktop,35-44,53,8
